"Time, hr",Compound A,Compound B,Compound C,Compound D,Compound E,Compound F,Compound G,Compound H,Compound I
606.61,0.46503239,2.223525824,-0.590130252,0.35628736,0.27425972,0.031335958,0.234298542,0.074944025,-1.877738506
606.71,0.465614217,2.223525361,-0.590130251,0.356287363,0.274261049,0.031307919,0.234218353,0.074944025,-1.877738506
606.81,0.466183436,2.223524898,-0.590130251,0.356287366,0.274262378,0.03124234,0.23409759,0.074944025,-1.877738506
606.91,0.466718138,2.223524435,-0.590130251,0.356287369,0.274263707,0.031145967,0.233943351,0.074944025,-1.877738506
607.01,0.467207805,2.223523972,-0.590130251,0.356287372,0.274265036,0.03102696,0.233759252,0.074944025,-1.877738506
607.11,0.467639044,2.223523509,-0.590130251,0.356287376,0.274266365,0.030888693,0.233571836,0.074944025,-1.877738506
607.21,0.468004135,2.223523046,-0.590130251,0.356287379,0.274267694,0.030737449,0.233375687,0.074944025,-1.877738506
607.31,0.468296482,2.223522583,-0.590130251,0.356287382,0.274269023,0.030580147,0.233178567,0.074944025,-1.877738506
607.41,0.468512057,2.22352212,-0.590130251,0.356287385,0.274270352,0.030421331,0.232981447,0.074944025,-1.877738506
607.51,0.468649684,2.223521657,-0.590130251,0.356287388,0.274271681,0.030264839,0.232784328,0.074944025,-1.877738506
607.61,0.468710864,2.223521194,-0.590130251,0.356287391,0.27427301,0.030110363,0.232587208,0.074944025,-1.877738506
607.71,0.468699293,2.223520731,-0.59013025,0.356287394,0.274274339,0.029964783,0.232390088,0.074944025,-1.877738506
607.81,0.468620391,2.223520268,-0.59013025,0.356287397,0.274275668,0.029829805,0.232238035,0.074944025,-1.877738506
607.91,0.468481017,2.223519805,-0.59013025,0.3562874,0.274276997,0.0297075,0.232085982,0.074944025,-1.877738506
608.01,0.468288258,2.223519342,-0.59013025,0.356287403,0.274278326,0.029598785,0.231972506,0.074944025,-1.877738506
608.11,0.468053204,2.22351888,-0.59013025,0.356287406,0.274279655,0.02950657,0.231866437,0.074944025,-1.877738506
608.21,0.467784646,2.223518417,-0.59013025,0.356287409,0.274280984,0.02943106,0.231789996,0.074944025,-1.877738506
608.31,0.467494288,2.223517954,-0.59013025,0.356287412,0.274282313,0.02937304,0.231738411,0.074944025,-1.877738506
608.41,0.467189096,2.223517491,-0.59013025,0.356287415,0.274283642,0.029331435,0.231704499,0.074944025,-1.877738506
608.51,0.466884075,2.223517028,-0.59013025,0.356287418,0.274284971,0.029310088,0.231698665,0.074944025,-1.877738506
608.61,0.466583812,2.223516565,-0.59013025,0.356287421,0.2742863,0.029306604,0.231715866,0.074944025,-1.877738506
608.71,0.46629954,2.223516102,-0.590130249,0.356287424,0.274287629,0.029320191,0.231749004,0.074944025,-1.877738506
608.81,0.466038235,2.223515639,-0.590130249,0.356287428,0.274288958,0.02934964,0.231806397,0.074944025,-1.877738506
608.91,0.465808253,2.223515176,-0.590130249,0.356287431,0.274290287,0.029394155,0.23187824,0.074944025,-1.877738506
609.01,0.465614057,2.223514713,-0.590130249,0.356287434,0.274291616,0.029450492,0.231964532,0.074944025,-1.877738506
609.11,0.465459305,2.22351425,-0.590130249,0.356287437,0.274292945,0.029516452,0.232052347,0.074944025,-1.877738506
